"lfdn";"external_lfdn";"tester";"dispcode";"lastpage";"quality";"duration";"p_0001";"browser";"referer";"device_type";"quota";"quota_assignment";"quota_rejected_id";"page_history";"hflip";"vflip";"output_mode";"javascript";"flash";"session_id";"language";"cleaned";"ats";"datetime";"date_of_last_access";"date_of_first_mail";"v_2889";"v_2890";"v_2891";"v_2892";"v_1752";"v_1751";"v_1749";"v_1750";"v_1747";"v_1748";"v_1753";"v_1762";"v_2937";"v_2938";"dupl1_v_69";"v_71";"v_2851";"v_2852";"v_2853";"v_2854";"v_2855";"v_2856";"v_1709";"v_1710";"v_1711";"v_1712";"v_1713";"v_1714";"v_1715";"v_1717";"v_1718";"v_1720";"v_1722";"v_1724";"v_1726";"v_1728";"v_1730";"v_1732";"v_1734";"v_1707";"v_1719";"v_2894";"v_2895";"v_2896";"v_2897";"v_2898";"v_2899";"v_2900";"v_2901";"v_2902";"v_2903";"v_2904";"v_2905";"v_2906";"v_2907";"v_2908";"v_2909";"v_2910";"v_2911";"v_2918";"v_2702";"v_2703";"v_2704";"v_2705";"v_2706";"v_2707";"v_2708";"v_2709";"v_2710";"v_2711";"v_2712";"v_2713";"v_2714";"v_2715";"v_2716";"v_2717";"v_2718";"v_2719";"v_2720";"v_2721";"v_2722";"v_2723";"v_2724";"v_2725";"v_2726";"v_2727";"v_2728";"v_2729";"v_2730";"v_2731";"v_2732";"v_2733";"v_2734";"v_2735";"v_2736";"v_2737";"v_2738";"v_2739";"v_2740";"v_2741";"v_2742";"v_2743";"v_2744";"v_2745";"v_2746";"v_2747";"v_2748";"v_2749";"v_2750";"v_2751";"v_2752";"v_2753";"v_2754";"v_2755";"v_2756";"v_2757";"v_2758";"v_2759";"v_2760";"v_2761";"v_2762";"v_2763";"v_2764";"v_2765";"v_2766";"v_2767";"v_2768";"v_2769";"v_2770";"v_2771";"v_2772";"v_2773";"v_2774";"v_2775";"v_2776";"v_2777";"v_2778";"v_2779";"v_2780";"v_2781";"v_2782";"v_2783";"v_2785";"v_2787";"v_2789";"v_2791";"v_2793";"v_2795";"v_2797";"v_2799";"v_2784";"v_2786";"v_2788";"v_2790";"v_2792";"v_2794";"v_2796";"v_2798";"v_2800";"v_2801";"v_2802";"v_2803";"v_2804";"v_2805";"v_2806";"v_2807";"v_2808";"v_2809";"v_1573";"v_1574";"v_1575";"v_2936";"v_2919";"v_1588";"v_1589";"v_1590";"v_1591";"v_1592";"v_1593";"v_1594";"v_1595";"v_2934";"v_1599";"v_1600";"v_1601";"v_1577";"v_1578";"v_1579";"v_2922";"v_2923";"v_2924";"v_2925";"v_2926";"v_2927";"v_2928";"v_2929";"v_1596";"v_1597";"v_1598";"v_1625";"v_1626";"v_1627";"v_1628";"v_1629";"v_1630";"v_1631";"v_1632";"v_1633";"v_1634";"v_1635";"v_1754";"v_2884";"v_2885";"v_2886";"v_2887";"v_1642";"v_1643";"v_1644";"v_1645";"v_1646";"v_1647";"v_2931";"v_2932";"v_2933";"v_1658";"v_1659";"v_1660";"v_1661";"v_1662";"v_1663";"v_1664";"v_1665";"v_2920";"rts7288964";"rts7288965";"rts7288966";"rts7288969";"rts7288970";"rts7288971";"rts7288972";"rts7288973";"rts7288974";"rts7288975";"rts7288976";"rts7288977";"rts7288978";"rts7288979";"rts7288980";"rts7288981";"rts7288982";"rts7288983";"rts7288986";"rts7288987";"rts7288988";"rts7288989";"rts7288990"
718;0;0;32;7288991;-77;-1;"42773287";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36";"https://norstatsurveys.com/";0;1;"1,5,3";0;"7288964,7288965,7288966,7288967,7288969,7288970,7288971,7288972,7288973,7288974,7288975,7288975,7288975,7288976,7288977,7288978,7288979,7288980,7288981,7288982,7288983,7288984,7288986,7288987,7288988,7288989,7288990,7288990,7288991";0;0;0;-77;-77;"13a65df727b377d05536ca9702853aab";1;0;1676827373;"19.02.2023 17:22";"20.02.2023 09:26";"0000-00-00 00:00:00";1;1;1;1;1;29;4;"-99";1;"-99";1;1;6;"Eigenheim";3;11;3;3;2;2;3;4;3;5;5;4;4;3;6;6;4;4;5;5;3;3;4;3;4;6;"-99";-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;"-66";-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;3;2;4;2;"ich bin kein großer Fan von smarter Energietechnologie, ich finde due Kosten-Nutzen nicht ausschlaggebend. Hausverstand sollte ausreichend sein.";1;1;1;0;0;1;0;0;0;2;2;2;3;2;2;2;2;3;2;3;3;2;3;3;2;3;4;4;5;3;3;2;4;3;3;3;4;1;1;2;2;2;2;2;2;2;2;2;3;3;4;2;2;1;4;1;2;4;1;"Gutes Thema.";7;29;123;198;225;1209;1213;1216;4117;56752;57193;57209;57264;57267;57286;57344;57401;57543;57565;57624;57762;57828;57840
719;0;0;31;7288991;-77;1277;"1931941";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 Edg/109.0.1518.52";"https://norstatsurveys.com/";0;8;"8,3,2";0;"7288964,7288965,7288966,7288967,7288969,7288970,7288971,7288972,7288973,7288974,7288975,7288976,7288977,7288978,7288979,7288980,7288981,7288982,7288983,7288984,7288986,7288986,7288986,7288987,7288988,7288989,7288990,7288991";0;1;0;-77;-77;"1ff74b5158dab12e170c262efa34243e";1;0;1676827814;"19.02.2023 17:30";"19.02.2023 17:51";"0000-00-00 00:00:00";1;1;1;1;1;51;3;"-99";1;"-99";7;3;3;"-99";1;3;1;2;2;3;2;3;4;4;3;4;6;3;4;4;4;3;4;4;3;4;3;4;4;0;"-99";-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;"-66";-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;4;5;3;1;"-99";1;1;0;0;0;0;0;0;0;2;2;3;3;3;2;3;3;2;3;2;2;2;3;3;3;3;2;2;2;1;5;5;5;5;2;2;2;1;2;2;3;3;3;3;3;3;3;4;3;3;3;2;3;5;2;3;5;2;3;"-99";14;24;51;54;80;135;143;147;150;154;183;203;207;210;221;246;569;1052;1098;1164;1225;1274;1277
721;0;0;31;7288991;-77;1424;"60315041";"Mozilla/5.0 (Linux; Android 13; SM-F711B Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/110.0.5481.65 Mobile Safari/537.36 NorstatApp/4.4.0";"https://www.norstatpanel.com/";0;8;"8,3,2";0;"7288964,7288965,7288966,7288967,7288969,7288970,7288971,7288972,7288973,7288974,7288975,7288976,7288977,7288977,7288977,7288978,7288979,7288980,7288981,7288982,7288983,7288984,7288986,7288987,7288988,7288989,7288990,7288991";1;1;0;-77;-77;"14f76c7d6a01decc4203e95bc6365306";1;0;1676830016;"19.02.2023 18:06";"19.02.2023 18:30";"0000-00-00 00:00:00";1;1;1;1;1;55;2;"-99";1;"-99";1;3;1;"-99";2;11;1;1;1;1;1;1;2;2;2;3;3;2;1;1;1;1;1;1;2;6;1;2;6;0;"-99";-77;-77;-77;-77;-77;-77;2;3;2;2;2;2;-77;-77;1;-77;-77;-77;"-99";1;1;1;1;3;1;1;1;1;1;1;1;1;-77;1;1;-77;1;1;5;5;5;1;1;5;1;1;1;5;1;1;-77;1;1;-77;1;5;5;1;5;5;1;5;5;5;5;5;5;5;-77;5;5;-77;5;1;1;1;1;1;1;1;1;5;1;5;5;1;-77;1;5;-77;1;5;5;5;5;5;5;5;1;1;5;1;1;5;-77;5;5;-77;5;5;5;1;1;1;5;5;1;5;1;1;1;5;-77;1;5;-77;5;1;7;1;1;"-99";1;1;1;1;1;0;1;1;0;1;5;5;1;1;1;1;1;1;1;5;1;5;1;1;1;1;1;1;1;1;5;5;5;5;1;5;5;1;1;3;1;1;1;1;1;1;1;1;3;1;3;1;1;5;5;1;1;5;5;"-99";10;31;69;80;118;206;267;273;761;780;848;1004;1010;1015;1033;1076;1128;1214;1251;1299;1394;1420;1424
722;0;0;31;7288991;-77;1897;"50004010";"Mozilla/5.0 (Linux; Android 13; SM-G996B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Mobile Safari/537.36";"https://norstatsurveys.com/";0;5;"5,4,2";0;"7288964,7288965,7288966,7288967,7288969,7288970,7288971,7288972,7288973,7288974,7288975,7288976,7288977,7288978,7288979,7288980,7288981,7288982,7288983,7288984,7288986,7288987,7288988,7288989,7288990,7288991";0;0;0;-77;-77;"cddd673a0aaab83255632a30c32712c0";1;0;1676830426;"19.02.2023 18:13";"19.02.2023 18:45";"0000-00-00 00:00:00";1;1;1;1;2;22;3;"-99";3;"-99";2;2;2;"-99";3;7;3;3;3;2;2;3;4;5;6;6;6;1;6;6;1;5;5;6;1;3;1;6;1;0;"-99";-77;-77;-77;-77;-77;9;-77;-77;11;-77;-77;-77;12;-77;10;-77;12;-77;"-99";2;4;-77;-77;-77;3;-77;-77;2;4;4;-77;3;1;3;-77;3;3;5;4;-77;-77;-77;4;-77;-77;5;5;3;-77;5;1;5;-77;4;3;4;3;-77;-77;-77;3;-77;-77;4;4;3;-77;4;3;3;-77;3;3;3;2;-77;-77;-77;2;-77;-77;3;3;4;-77;2;1;1;-77;3;3;4;4;-77;-77;-77;2;-77;-77;2;3;4;-77;4;3;3;-77;3;3;4;3;-77;-77;-77;5;-77;-77;4;4;4;-77;4;3;4;-77;5;3;4;1;4;2;"-99";1;1;0;0;0;0;0;0;0;3;3;5;4;2;3;3;4;3;4;5;5;4;3;4;3;3;3;3;5;3;5;4;5;3;3;4;3;1;3;1;3;2;2;4;3;3;3;2;3;3;4;1;4;3;2;3;2;2;3;"-99";6;27;55;57;103;305;381;387;808;810;936;1038;1042;1044;1058;1141;1240;1425;1507;1721;1864;1894;1897
726;0;0;31;7288991;-77;1237;"52414251";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36 Edg/110.0.1587.49";"https://norstatsurveys.com/";0;8;"8,3,2";0;"7288964,7288965,7288966,7288967,7288969,7288970,7288971,7288971,7288971,7288972,7288973,7288974,7288975,7288976,7288977,7288978,7288979,7288980,7288981,7288982,7288983,7288984,7288986,7288987,7288988,7288989,7288989,7288989,7288990,7288991";1;0;0;-77;-77;"40ae1f3e368c9fd97836ad06ae571a22";1;0;1676835139;"19.02.2023 19:32";"19.02.2023 19:52";"0000-00-00 00:00:00";1;1;1;1;1;56;3;"-99";3;"-99";7;1;6;"Eigenes Haus";2;3;1;1;1;2;2;4;1;6;2;2;5;3;4;6;4;5;3;4;3;1;4;1;3;0;"-99";4;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;-77;4;-77;-77;"-99";1;-77;1;1;4;1;4;-77;3;3;3;3;2;1;1;1;2;0;1;-77;2;2;4;1;4;-77;4;1;3;3;1;1;5;1;2;0;2;-77;1;1;5;1;4;-77;5;5;5;5;3;2;5;2;5;0;2;-77;1;1;5;1;3;-77;4;2;5;4;1;1;1;1;2;0;5;-77;5;4;5;4;4;-77;4;5;5;5;5;4;5;4;5;0;1;-77;4;2;5;1;5;-77;4;1;5;4;1;1;5;1;1;0;2;1;2;2;"-99";0;0;0;0;1;0;0;0;0;2;3;1;1;1;1;1;4;4;1;4;1;1;4;1;2;4;5;5;5;5;1;1;3;1;4;2;4;1;1;1;1;1;2;2;1;2;4;4;5;4;4;1;1;5;5;1;1;5;1;"-99";6;18;42;45;87;173;220;224;519;523;623;714;716;719;745;807;901;1003;1047;1113;1183;1234;1237
729;0;0;31;7288991;-77;2147;"60575067";"Mozilla/5.0 (Linux; Android 12; V2110) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Mobile Safari/537.36";"https://norstatsurveys.com/";0;7;"7,4,2";0;"7288964,7288965,7288966,7288967,7288969,7288970,7288971,7288972,7288973,7288974,7288975,7288976,7288977,7288978,7288979,7288980,7288981,7288982,7288983,7288984,7288986,7288987,7288988,7288989,7288990,7288991";1;1;0;-77;-77;"ad7cf53d7f14aee7378cf3e83fc0b9cc";1;0;1676842408;"19.02.2023 21:33";"19.02.2023 22:09";"0000-00-00 00:00:00";1;1;1;1;2;41;2;"-99";1;"-99";8;3;3;"-99";1;2;2;2;2;2;2;2;5;4;3;4;6;4;4;1;3;3;4;5;5;5;3;4;3;0;"-99";-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;"-66";2;1;2;1;-77;1;1;1;2;1;3;3;3;2;1;2;2;3;2;3;3;3;-77;1;2;3;3;2;2;3;1;1;3;2;1;3;4;2;1;3;-77;4;1;2;3;3;3;3;3;3;3;3;3;2;3;2;2;1;-77;2;3;1;3;1;2;4;3;3;1;1;1;2;5;4;1;4;-77;3;2;1;1;2;2;2;3;4;3;3;2;1;1;3;3;2;-77;1;3;3;1;1;1;3;1;2;1;1;1;2;2;2;3;2;"-99";1;1;1;0;0;0;0;0;0;2;4;4;3;3;2;2;3;2;3;3;2;3;2;3;3;3;2;2;2;2;4;4;4;4;2;2;3;1;1;1;2;2;2;3;1;2;2;3;3;2;2;2;2;4;3;3;4;5;2;"-99";13;40;1041;1049;1096;1219;1227;1231;1624;1633;1665;1684;1687;1693;1726;1785;1836;1923;1979;2055;2120;2144;2147
734;0;0;31;7288991;-77;604;"51514161";"Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1";"https://norstatsurveys.com/";0;1;"1,5,3";0;"7288964,7288965,7288966,7288967,7288969,7288970,7288971,7288972,7288973,7288974,7288975,7288976,7288977,7288978,7288979,7288980,7288981,7288982,7288983,7288984,7288986,7288987,7288988,7288989,7288990,7288991";1;0;0;-77;-77;"8aa8fdf3a72762bee52ce7fa517c6652";1;0;1676852360;"20.02.2023 00:19";"20.02.2023 00:29";"0000-00-00 00:00:00";1;1;1;1;1;27;4;"-99";1;"-99";2;3;2;"-99";2;6;1;2;2;4;2;3;2;4;4;5;5;4;4;6;3;5;5;5;3;3;4;3;5;6;"-99";-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;"-66";-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;5;2;5;2;"-99";1;0;1;0;0;0;0;0;0;1;5;5;2;2;2;2;2;4;2;3;3;1;4;3;3;4;3;3;3;3;1;1;2;1;2;2;3;1;1;2;2;3;4;5;3;2;5;5;5;5;5;2;1;5;4;2;1;3;3;"-99";6;20;53;63;101;190;193;197;198;212;279;301;303;305;322;354;395;450;470;512;575;601;604
735;0;0;32;7288991;-77;-1;"40323042";"Mozilla/5.0 (Linux; Android 12; AC2003 Build/RKQ1.211119.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/110.0.5481.65 Mobile Safari/537.36 NorstatApp/4.4.0";"https://norstatsurveys.com/";0;1;"1,5,3";0;"7288964,7288965,7288966,7288967,7288969,7288970,7288971,7288972,7288973,7288974,7288975,7288976,7288977,7288978,7288979,7288979,7288979,7288980,7288981,7288982,7288982,7288982,7288983,7288984,7288986,7288987,7288988,7288989,7288990,7288991";0;1;0;-77;-77;"ff4f4c81e0651b28dd88545570076411";1;0;1676873861;"20.02.2023 06:17";"20.02.2023 16:12";"0000-00-00 00:00:00";1;1;1;1;1;25;5;"-99";1;"-99";6;3;3;"-99";2;6;2;2;3;3;3;4;5;4;5;4;4;4;4;3;1;3;4;4;3;4;2;4;2;0;"-99";-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;"-66";4;2;4;2;4;4;1;1;3;1;4;3;3;4;1;4;1;0;1;3;4;4;2;1;4;4;5;3;1;5;2;2;3;1;3;0;2;3;1;1;3;2;4;3;4;3;2;4;2;3;3;2;2;0;3;2;3;1;4;3;1;1;3;2;4;3;3;4;1;2;1;0;5;4;5;5;4;3;1;1;1;3;5;2;4;4;3;5;3;0;1;4;4;4;3;2;5;5;5;3;1;5;2;2;4;1;2;0;3;5;5;1;"-99";1;0;0;0;1;0;1;0;0;2;3;2;3;2;2;1;4;2;2;4;2;1;3;3;2;3;2;3;2;2;5;4;5;5;3;3;3;1;3;2;2;2;2;4;1;3;3;3;2;2;2;1;1;5;4;2;4;3;2;"-99";10;24;66;69;101;178;185;194;477;480;531;553;556;605;613;660;35429;35489;35517;35581;35631;35666;35670
736;0;0;31;7288991;-77;3037;"43143324";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36";"https://norstatsurveys.com/";0;1;"1,5,4";0;"7288964,7288965,7288966,7288967,7288969,7288970,7288971,7288972,7288973,7288974,7288975,7288976,7288977,7288978,7288979,7288980,7288981,7288982,7288983,7288984,7288986,7288987,7288988,7288989,7288989,7288989,7288990,7288991";0;1;0;-77;-77;"b4f27339bea6e19584472b06f52a7997";1;0;1676874879;"20.02.2023 06:34";"20.02.2023 07:25";"0000-00-00 00:00:00";1;1;1;1;2;24;4;"-99";1;"-99";3;1;3;"-99";1;3;2;2;5;4;2;2;4;3;2;5;2;2;2;1;4;3;2;4;3;2;1;4;4;0;"-99";-77;-77;-77;-77;-77;-77;-77;2;-77;-77;-77;-77;-77;-77;3;-77;-77;-77;"-99";2;1;1;4;3;1;2;1;2;2;2;3;2;2;1;3;3;0;2;2;4;3;3;1;2;4;2;3;2;2;2;1;3;1;3;0;4;3;2;5;5;3;3;5;5;5;5;3;5;4;5;5;5;0;2;2;1;1;3;2;1;1;3;2;2;2;2;4;1;2;1;0;4;1;2;4;2;2;1;1;2;1;3;3;3;3;2;2;2;0;3;2;3;4;3;1;2;2;3;4;2;3;2;1;4;2;2;0;3;5;2;3;"-99";1;1;1;0;1;0;1;0;0;2;4;3;3;2;2;1;3;4;3;3;2;3;3;3;2;2;1;1;2;1;4;3;5;4;2;2;3;1;1;1;1;1;3;2;1;2;2;1;4;4;4;2;2;5;5;1;2;5;3;"-99";9;24;59;122;150;240;273;282;2034;2052;2240;2253;2263;2281;2300;2335;2383;2761;2833;2935;2983;3034;3038
739;0;0;31;7288991;-77;696;"41163126";"Mozilla/5.0 (Linux; Android 11; 2107113SG) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Mobile Safari/537.36";"https://norstatsurveys.com/";0;5;"5,3,2";0;"7288964,7288964,7288964,7288964,7288965,7288966,7288967,7288969,7288970,7288971,7288972,7288973,7288974,7288975,7288976,7288977,7288978,7288979,7288980,7288981,7288982,7288983,7288984,7288986,7288987,7288988,7288989,7288990,7288991";1;1;0;-77;-77;"3a04d5e878e5df7b974c953006d8a265";1;0;1676876679;"20.02.2023 07:04";"20.02.2023 07:16";"0000-00-00 00:00:00";1;1;1;1;1;26;2;"-99";1;"-99";1;3;3;"-99";3;5;3;3;3;3;3;3;5;4;6;6;6;1;6;6;1;3;6;6;6;6;1;6;3;0;"-99";-77;-77;-77;-77;-77;3;-77;-77;4;-77;-77;-77;-77;-77;2;-77;-77;-77;"-99";3;3;-77;-77;-77;3;-77;-77;3;2;-77;-77;-77;-77;1;-77;1;0;3;3;-77;-77;-77;3;-77;-77;3;3;-77;-77;-77;-77;3;-77;3;3;5;3;-77;-77;-77;3;-77;-77;3;3;-77;-77;-77;-77;3;-77;3;0;3;2;-77;-77;-77;2;-77;-77;1;2;-77;-77;-77;-77;2;-77;2;0;3;3;-77;-77;-77;3;-77;-77;3;3;-77;-77;-77;-77;3;-77;3;3;3;3;-77;-77;-77;3;-77;-77;3;3;-77;-77;-77;-77;3;-77;3;3;4;4;4;2;"-99";1;1;1;0;0;0;0;0;0;1;1;3;2;1;3;1;3;3;3;3;1;3;3;3;3;3;3;3;2;1;4;4;4;4;3;3;3;1;3;3;3;3;2;3;1;4;4;2;2;4;2;3;3;3;3;3;4;2;3;"-99";24;41;72;77;108;167;191;195;303;309;329;364;367;370;385;420;460;517;542;629;668;692;696
740;0;0;32;7288991;-77;-1;"1905915";"Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1";"https://norstatsurveys.com/";0;7;"7,3,2";0;"7288964,7288965,7288966,7288967,7288969,7288970,7288970,7288971,7288972,7288973,7288974,7288975,7288976,7288977,7288978,7288979,7288980,7288981,7288982,7288983,7288984,7288986,7288987,7288988,7288989,7288989,7288989,7288990,7288991";1;1;0;-77;-77;"05d50be4d50b0be2acd12f2200a32a2b";1;0;1676876830;"20.02.2023 07:07";"21.02.2023 07:00";"0000-00-00 00:00:00";1;1;1;1;1;40;2;"-99";1;"-99";3;1;6;"Hauseigentum!";2;6;2;1;1;2;1;3;1;5;6;3;4;1;5;6;6;5;4;5;1;1;4;1;5;0;"-99";6;-77;-77;-77;-77;3;-77;-77;-77;-77;-77;-77;2;4;-77;5;-77;-77;"-99";2;2;-77;2;3;3;3;-77;-77;2;2;3;2;2;1;2;2;0;1;2;-77;2;2;2;3;-77;-77;2;1;3;1;1;2;1;1;0;2;3;-77;2;3;2;4;-77;-77;2;3;3;3;2;3;3;3;0;1;3;-77;1;4;3;4;-77;-77;2;2;3;2;2;1;1;2;0;2;3;-77;3;3;3;3;-77;-77;3;3;3;3;2;3;3;3;0;1;2;-77;2;2;2;3;-77;-77;3;1;3;1;1;3;1;1;0;2;2;4;1;"-99";1;0;0;0;1;0;0;0;0;2;3;2;2;2;2;2;3;2;2;3;2;2;3;2;2;2;3;3;3;2;3;3;3;3;2;2;3;1;1;2;2;2;2;2;1;2;3;2;2;3;2;1;2;4;2;2;2;4;2;"-99";14;50;335;48137;48336;48454;48560;48565;82890;82896;83311;84502;84515;84525;84547;84628;84755;84950;85005;85166;85267;85868;86018
742;0;0;31;7288991;-77;2964;"44083418";"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/110.0";"https://norstatsurveys.com/";0;1;"1,5,4";0;"7288964,7288965,7288966,7288967,7288969,7288970,7288971,7288972,7288973,7288974,7288975,7288976,7288977,7288978,7288979,7288980,7288981,7288982,7288983,7288984,7288986,7288987,7288988,7288989,7288990,7288991";1;0;0;-77;-77;"d03b4d12799b9b0a4fb47582f1a2ded0";1;0;1676878119;"20.02.2023 07:28";"20.02.2023 08:18";"0000-00-00 00:00:00";1;1;1;1;2;28;5;"-99";2;"-99";1;3;1;"-99";2;6;1;3;2;4;2;2;3;5;6;4;3;5;6;6;5;6;5;6;5;3;4;4;6;0;"-99";-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;"-66";-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;4;1;6;2;"-99";1;1;1;0;0;1;1;0;0;1;5;5;2;1;2;1;4;4;2;3;3;1;4;3;1;2;2;1;3;3;5;5;5;5;1;1;1;1;4;2;3;2;2;3;1;2;1;2;5;5;5;1;1;5;5;2;1;5;1;"-99";23;54;91;100;155;244;250;252;253;1486;1547;1566;1636;1639;1658;1694;1765;2450;2497;2556;2633;2960;2964
744;0;0;31;7288991;-77;1164;"1093103";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36";"https://norstatsurveys.com/";0;7;"7,3,2";0;"7288964,7288965,7288966,7288967,7288969,7288970,7288971,7288972,7288973,7288974,7288975,7288976,7288977,7288978,7288979,7288980,7288981,7288982,7288983,7288984,7288986,7288987,7288988,7288989,7288989,7288989,7288990,7288991";0;1;0;-77;-77;"b3761b2a286ae9933fbee7854474456d";1;0;1676878216;"20.02.2023 07:30";"20.02.2023 07:49";"0000-00-00 00:00:00";1;1;1;1;1;43;3;"-99";1;"-99";6;1;6;"Keine Mietwohnung (Hauseigentum)";2;7;1;1;1;2;1;1;2;3;2;3;4;1;2;1;1;2;1;2;2;1;1;3;3;0;"-99";-77;-77;-77;-77;-77;3;-77;2;2;-77;4;-77;-77;3;3;-77;-77;-77;"Ich liebe diese Technologie - mein Partner leider eher weniger.";1;4;1;2;3;1;2;3;2;3;2;3;2;2;1;2;3;0;1;2;3;3;5;1;2;5;5;2;2;3;1;1;3;1;2;0;5;5;2;5;5;5;3;5;5;5;5;5;5;5;5;5;5;0;3;3;4;2;5;2;3;3;5;5;4;3;5;5;1;5;2;0;5;5;5;5;5;3;2;1;1;5;4;5;4;5;4;5;5;0;1;2;5;5;5;1;3;5;5;5;2;5;1;1;5;1;2;0;2;6;5;1;"-99";1;1;1;1;1;0;1;1;0;1;4;4;2;1;1;1;2;3;2;3;1;2;4;1;1;1;1;1;1;1;5;5;5;5;1;2;2;1;3;3;3;2;2;3;3;2;3;3;4;4;2;1;1;5;5;1;3;5;1;"-99";9;26;65;69;85;138;187;214;508;512;662;688;696;700;718;768;836;914;994;1046;1097;1157;1164
